Year,State Name,Average_Maize_Yield_Kg_per_ha
1999,Assam,659.258
1999,Bihar,2139.7590909090914
1999,Chhattisgarh,1536.7466666666667
1999,Gujarat,1055.8961111111114
1999,Haryana,1284.685714285714
1999,Himachal Pradesh,2450.918
1999,Jharkhand,1325.4099999999999
1999,Karnataka,2522.133684210526
1999,Kerala,0.0
1999,Madhya Pradesh,1447.5513513513513
1999,Maharashtra,1177.193076923077
1999,Orissa,1188.6446153846152
1999,Punjab,2636.931818181818
1999,Rajasthan,839.0384615384614
1999,Tamil Nadu,1267.4983333333332
1999,Telangana,3077.5777777777776
1999,Uttar Pradesh,1318.4665217391307
1999,Uttarakhand,1191.33125
1999,West Bengal,1343.4260000000002
2000,Andhra Pradesh,3590.4527272727278
2000,Assam,689.57
2000,Bihar,2263.847272727273
2000,Chhattisgarh,1187.495
2000,Gujarat,657.8538888888891
2000,Haryana,975.7614285714286
2000,Himachal Pradesh,2414.2949999999996
2000,Jharkhand,1597.6033333333335
2000,Karnataka,2838.507894736842
2000,Kerala,0.0
2000,Madhya Pradesh,1514.2116216216214
2000,Maharashtra,847.5253846153846
2000,Orissa,1115.5423076923075
2000,Punjab,2855.283636363636
2000,Rajasthan,963.4876923076923
2000,Tamil Nadu,1324.3316666666667
2000,Telangana,2763.945555555556
2000,Uttar Pradesh,1567.2708695652175
2000,Uttarakhand,1299.4075
2000,West Bengal,1802.5613333333336
2001,Andhra Pradesh,4428.016363636364
2001,Assam,640.2050000000002
2001,Bihar,2352.902727272727
2001,Chhattisgarh,742.6333333333333
2001,Gujarat,1447.7561111111108
2001,Haryana,1227.1985714285713
2001,Himachal Pradesh,2725.128
2001,Jharkhand,1414.2633333333333
2001,Karnataka,2438.6984210526316
2001,Kerala,0.0
2001,Madhya Pradesh,1896.0810810810806
2001,Maharashtra,1825.9011538461536
2001,Orissa,1036.4246153846152
2001,Punjab,2763.6118181818183
2001,Rajasthan,1202.6392307692308
2001,Tamil Nadu,1263.3658333333335
2001,Telangana,3108.3344444444447
2001,Uttar Pradesh,1526.3658695652177
2001,Uttarakhand,1141.3749999999998
2001,West Bengal,1963.262
2002,Andhra Pradesh,3255.3072727272724
2002,Assam,648.883
2002,Bihar,2172.526363636364
2002,Chhattisgarh,1296.635
2002,Gujarat,1233.7022222222222
2002,Haryana,594.9528571428572
2002,Himachal Pradesh,1646.19
2002,Jharkhand,1091.2166666666667
2002,Karnataka,2142.0326315789475
2002,Kerala,0.0
2002,Madhya Pradesh,1558.928918918919
2002,Maharashtra,1494.5523076923077
2002,Orissa,1083.6884615384618
2002,Punjab,2050.850909090909
2002,Rajasthan,626.6865384615386
2002,Tamil Nadu,1224.3358333333333
2002,Telangana,2485.83
2002,Uttar Pradesh,1064.071739130435
2002,Uttarakhand,923.30625
2002,West Bengal,1580.4746666666665
2003,Andhra Pradesh,3377.1699999999996
2003,Assam,643.7520000000001
2003,Bihar,2261.2427272727273
2003,Chhattisgarh,1246.0733333333335
2003,Gujarat,1338.1527777777778
2003,Haryana,1397.3914285714286
2003,Himachal Pradesh,2655.1339999999996
2003,Jharkhand,1402.2666666666664
2003,Karnataka,2152.9800000000005
2003,Kerala,0.0
2003,Madhya Pradesh,1844.8254054054057
2003,Maharashtra,1574.158846153846
2003,Orissa,1017.5030769230767
2003,Punjab,3062.5863636363642
2003,Rajasthan,1472.9642307692304
2003,Tamil Nadu,1393.5600000000002
2003,Telangana,3513.3544444444447
2003,Uttar Pradesh,1339.556086956522
2003,Uttarakhand,969.21
2003,West Bengal,2154.9466666666663
2004,Andhra Pradesh,4626.862727272727
2004,Assam,652.5620000000001
2004,Bihar,2385.415454545455
2004,Chhattisgarh,1371.4166666666667
2004,Gujarat,834.7105555555556
2004,Haryana,870.3671428571428
2004,Himachal Pradesh,2230.7249999999995
2004,Jharkhand,1398.7616666666665
2004,Karnataka,2788.6299999999997
2004,Kerala,0.0
2004,Madhya Pradesh,1358.7637837837842
2004,Maharashtra,1298.1946153846152
2004,Orissa,1088.4623076923076
2004,Punjab,2303.559090909091
2004,Rajasthan,907.7876923076922
2004,Tamil Nadu,1360.8358333333333
2004,Telangana,2699.0033333333336
2004,Uttar Pradesh,1518.3365217391304
2004,Uttarakhand,1338.4075
2004,West Bengal,2585.1646666666666
2005,Andhra Pradesh,5656.499090909091
2005,Assam,657.4159999999999
2005,Bihar,2182.1245454545456
2005,Chhattisgarh,1371.4166666666667
2005,Gujarat,1272.8961111111112
2005,Haryana,662.6228571428572
2005,Himachal Pradesh,1976.109
2005,Jharkhand,1027.7116666666666
2005,Karnataka,3137.5710526315793
2005,Kerala,0.0
2005,Madhya Pradesh,1361.0524324324326
2005,Maharashtra,1709.0192307692307
2005,Orissa,1179.6453846153845
2005,Punjab,2314.2972727272727
2005,Rajasthan,866.3026923076923
2005,Tamil Nadu,1035.1966666666665
2005,Telangana,3620.684444444444
2005,Uttar Pradesh,1331.1636956521738
2005,Uttarakhand,1345.80875
2005,West Bengal,2684.990666666666
2006,Andhra Pradesh,5714.56
2006,Assam,653.597
2006,Bihar,2554.3100000000004
2006,Chhattisgarh,1069.1
2006,Gujarat,425.4961111111111
2006,Haryana,351.2885714285714
2006,Himachal Pradesh,2430.112
2006,Jharkhand,1412.375
2006,Karnataka,2637.473157894737
2006,Kerala,0.0
2006,Madhya Pradesh,890.5037837837838
2006,Maharashtra,1727.0911538461542
2006,Orissa,1239.9207692307693
2006,Punjab,2644.2072727272725
2006,Rajasthan,895.5484615384617
2006,Tamil Nadu,3404.5208333333335
2006,Telangana,2999.7255555555553
2006,Uttar Pradesh,1345.9428260869565
2006,Uttarakhand,1050.1712499999999
2006,West Bengal,2706.82
2007,Andhra Pradesh,6290.120000000001
2007,Assam,633.717
2007,Bihar,2609.6690909090908
2007,Chhattisgarh,1433.11
2007,Gujarat,1132.5738888888889
2007,Haryana,1321.6814285714286
2007,Himachal Pradesh,2387.568
2007,Jharkhand,1288.21
2007,Karnataka,3023.666842105263
2007,Kerala,0.0
2007,Madhya Pradesh,1112.2532432432433
2007,Maharashtra,2445.468846153846
2007,Orissa,1428.0138461538465
2007,Punjab,2862.192727272727
2007,Rajasthan,1412.731153846154
2007,Tamil Nadu,3330.4891666666667
2007,Telangana,4435.517777777778
2007,Uttar Pradesh,1425.6586956521737
2007,Uttarakhand,1220.08375
2007,West Bengal,2711.690666666667
2008,Andhra Pradesh,6438.663636363636
2008,Assam,633.5310000000001
2008,Bihar,2178.906363636364
2008,Chhattisgarh,1268.7516666666668
2008,Gujarat,1167.6266666666668
2008,Haryana,1137.3871428571429
2008,Himachal Pradesh,2396.6719999999996
2008,Jharkhand,1015.5949999999999
2008,Karnataka,2942.8778947368423
2008,Kerala,0.0
2008,Madhya Pradesh,1218.7443243243242
2008,Maharashtra,2143.8865384615383
2008,Orissa,1479.0500000000002
2008,Punjab,2741.810909090909
2008,Rajasthan,1387.850769230769
2008,Tamil Nadu,3467.8375
2008,Telangana,3663.97111111111
2008,Uttar Pradesh,1461.4371739130438
2008,Uttarakhand,1154.09125
2008,West Bengal,2718.879333333333
2009,Andhra Pradesh,5955.2527272727275
2009,Assam,646.9130000000001
2009,Bihar,2298.7772727272727
2009,Chhattisgarh,1444.2666666666667
2009,Gujarat,864.9744444444444
2009,Haryana,1266.6842857142858
2009,Himachal Pradesh,2117.895
2009,Jharkhand,809.9233333333333
2009,Karnataka,2455.287894736842
2009,Kerala,0.0
2009,Madhya Pradesh,1066.4556756756756
2009,Maharashtra,1893.133846153846
2009,Orissa,1533.1923076923076
2009,Punjab,2864.1718181818183
2009,Rajasthan,754.3076923076923
2009,Tamil Nadu,3620.771666666666
2009,Telangana,2746.0255555555555
2009,Uttar Pradesh,1432.031086956522
2009,Uttarakhand,1338.0162500000001
2009,West Bengal,2750.9660000000003
2010,Andhra Pradesh,6981.683636363637
2010,Assam,636.3969999999999
2010,Bihar,3023.4645454545457
2010,Chhattisgarh,1651.9116666666666
2010,Gujarat,1482.0149999999999
2010,Haryana,747.4371428571428
2010,Himachal Pradesh,2571.699
2010,Jharkhand,884.3233333333333
2010,Karnataka,3417.563684210527
2010,Kerala,0.0
2010,Madhya Pradesh,1354.6527027027028
2010,Maharashtra,2113.395
2010,Orissa,1872.043846153846
2010,Punjab,2744.061818181818
2010,Rajasthan,1476.9334615384614
2010,Tamil Nadu,3617.6491666666666
2010,Telangana,3915.696666666667
2010,Uttar Pradesh,1355.023043478261
2010,Uttarakhand,1325.1762499999998
2010,West Bengal,2837.444666666667
2011,Andhra Pradesh,6014.424545454546
2011,Assam,730.554
2011,Bihar,3404.2727272727275
2011,Chhattisgarh,1561.585
2011,Gujarat,940.8183333333333
2011,Haryana,1393.7571428571428
2011,Himachal Pradesh,2474.6200000000003
2011,Jharkhand,1353.8766666666666
2011,Karnataka,3085.442105263158
2011,Kerala,385.714
2011,Madhya Pradesh,1165.5945945945946
2011,Maharashtra,2144.668846153846
2011,Orissa,1960.106923076923
2011,Punjab,3052.4772727272725
2011,Rajasthan,1215.2626923076923
2011,Tamil Nadu,5034.420833333334
2011,Telangana,3315.2877777777776
2011,Uttar Pradesh,1491.4732608695647
2011,Uttarakhand,1327.0700000000002
2011,West Bengal,2723.93
2012,Andhra Pradesh,5808.445454545454
2012,Assam,813.602
2012,Bihar,3909.2218181818175
2012,Chhattisgarh,1809.6383333333333
2012,Gujarat,1331.2749999999999
2012,Haryana,934.1957142857144
2012,Himachal Pradesh,2547.7380000000003
2012,Jharkhand,1338.1016666666667
2012,Karnataka,2938.783684210527
2012,Kerala,0.0
2012,Madhya Pradesh,2188.954594594595
2012,Maharashtra,1419.4838461538461
2012,Orissa,2049.133846153846
2012,Punjab,2933.9345454545455
2012,Rajasthan,1414.5392307692312
2012,Tamil Nadu,2954.361666666667
2012,Telangana,4197.003333333333
2012,Uttar Pradesh,1733.3836956521739
2012,Uttarakhand,1313.2375
2012,West Bengal,2791.1620000000007
2013,Andhra Pradesh,6104.06
2013,Assam,3710.925
2013,Bihar,3759.9863636363634
2013,Chhattisgarh,1953.3416666666665
2013,Gujarat,1270.5011111111114
2013,Haryana,857.1428571428571
2013,Himachal Pradesh,2386.833
2013,Jharkhand,1646.868333333333
2013,Karnataka,3161.82052631579
2013,Kerala,140.0
2013,Madhya Pradesh,1451.6091891891895
2013,Maharashtra,2151.3563999999997
2013,Orissa,2366.316153846154
2013,Punjab,3671.122727272727
2013,Rajasthan,1118.9419230769229
2013,Tamil Nadu,4848.367499999999
2013,Telangana,4304.205555555555
2013,Uttar Pradesh,1876.7034782608696
2013,Uttarakhand,1320.085
2013,West Bengal,2901.2799999999997
2014,Andhra Pradesh,5952.670909090908
2014,Assam,3111.8199999999997
2014,Bihar,3260.050909090909
2014,Chhattisgarh,1813.9133333333332
2014,Gujarat,1542.2216666666668
2014,Haryana,857.1428571428571
2014,Himachal Pradesh,2024.64
2014,Jharkhand,1955.3616666666667
2014,Karnataka,3199.904210526316
2014,Kerala,100.0
2014,Madhya Pradesh,2035.5159459459458
2014,Maharashtra,1566.6616000000001
2014,Orissa,2359.6092307692306
2014,Punjab,3561.868181818182
2014,Rajasthan,1249.1753846153847
2014,Tamil Nadu,7266.017499999999
2014,Telangana,3472.546666666666
2014,Uttar Pradesh,1688.2921739130438
2014,Uttarakhand,2010.5575
2014,West Bengal,2958.1999999999994
2015,Andhra Pradesh,5368.857272727272
2015,Assam,2400.0909999999994
2015,Bihar,3431.626363636364
2015,Chhattisgarh,1730.636666666667
2015,Gujarat,1543.8966666666665
2015,Haryana,1151.9285714285713
2015,Himachal Pradesh,2953.834
2015,Jharkhand,1071.0316666666668
2015,Karnataka,2824.374210526315
2015,Kerala,320.0
2015,Madhya Pradesh,1830.695945945946
2015,Maharashtra,1380.7816
2015,Orissa,2405.9138461538464
2015,Punjab,3084.176363636364
2015,Rajasthan,1161.115
2015,Tamil Nadu,6791.738333333334
2015,Telangana,3386.3411111111113
2015,Uttar Pradesh,1568.6217391304347
2015,Uttarakhand,1719.15875
2015,West Bengal,3014.4953333333337
2016,Andhra Pradesh,6051.6836363636385
2016,Assam,2373.6070000000004
2016,Bihar,4322.597272727273
2016,Chhattisgarh,2411.798333333333
2016,Gujarat,1738.2844444444443
2016,Haryana,3542.562857142857
